fund_name,date,nav
HDFC Top 100 Fund - Direct Plan - Growth,26-07-2018,144.35610
HDFC Top 100 Fund - Direct Plan - Growth,25-07-2018,144.28570
HDFC Top 100 Fund - Direct Plan - Growth,24-07-2018,144.25430
HDFC Top 100 Fund - Direct Plan - Growth,23-07-2018,144.22170
HDFC Top 100 Fund - Direct Plan - Growth,20-07-2018,144.16510
HDFC Top 100 Fund - Direct Plan - Growth,19-07-2018,144.16040
HDFC Top 100 Fund - Direct Plan - Growth,18-07-2018,144.17840
HDFC Top 100 Fund - Direct Plan - Growth,17-07-2018,144.15340
HDFC Top 100 Fund - Direct Plan - Growth,16-07-2018,144.03320
HDFC Top 100 Fund - Direct Plan - Growth,13-07-2018,143.99320
HDFC Top 100 Fund - Direct Plan - Growth,12-07-2018,143.91370
HDFC Top 100 Fund - Direct Plan - Growth,11-07-2018,143.76360
HDFC Top 100 Fund - Direct Plan - Growth,10-07-2018,143.71530
HDFC Top 100 Fund - Direct Plan - Growth,09-07-2018,143.66660
HDFC Top 100 Fund - Direct Plan - Growth,06-07-2018,143.56560
HDFC Top 100 Fund - Direct Plan - Growth,05-07-2018,143.52720
HDFC Top 100 Fund - Direct Plan - Growth,04-07-2018,143.52830
HDFC Top 100 Fund - Direct Plan - Growth,03-07-2018,143.41800
HDFC Top 100 Fund - Direct Plan - Growth,02-07-2018,143.37150
HDFC Top 100 Fund - Direct Plan - Growth,29-06-2018,143.24280
HDFC Top 100 Fund - Direct Plan - Growth,28-06-2018,143.19500
HDFC Top 100 Fund - Direct Plan - Growth,27-06-2018,143.25810
HDFC Top 100 Fund - Direct Plan - Growth,26-06-2018,143.30680
HDFC Top 100 Fund - Direct Plan - Growth,25-06-2018,143.28980
HDFC Top 100 Fund - Direct Plan - Growth,22-06-2018,143.21550
HDFC Top 100 Fund - Direct Plan - Growth,21-06-2018,143.21270
HDFC Top 100 Fund - Direct Plan - Growth,20-06-2018,143.07850
HDFC Top 100 Fund - Direct Plan - Growth,19-06-2018,142.99360
HDFC Top 100 Fund - Direct Plan - Growth,18-06-2018,142.93930
